카드이름,카드혜택,연회비,전월실적
알뜰교통카드 S20 Check,"전국 지하철/버스/택시
10% 캐시백
이동통신요금 최대
3천원 캐시백
커피전문점
20% 캐시백",해외겸용 없음,전월실적 20만원 이상
신한카드 FANtastic S 체크(LoL),"간편결제(신한플레이)
15% 캐시백
쿠팡,티몬
10% 캐시백
스타벅스
10% 캐시백",해외겸용 없음,전월실적 30만원 이상
신한카드 플리 체크(산리오캐릭터즈),"국내 이용금액
최대 0.3% 할인
해외 이용금액
0.2% 할인
매 월 2회
할인쿠폰 제공",국내전용 없음 / 해외겸용 없음,전월실적 없음
신한카드 Deep Dream 체크(미니언즈),"모두드림
0.2% 적립
더해드림
0.6% 적립
챙겨드림
1.0% 적립",해외겸용 없음,전월실적 없음
카카오페이 신한 체크카드,"카카오페이
2% 적립
대중교통
3% 적립
CGV 최대
3천원 적립",해외겸용 없음,전월실적 없음
카카오페이 신한 콘 체크카드,"10회결제 때마다
최대2만원 적립
카카오톡 주문하기
최대6천원 적립
해외가맹점
1% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
신한카드 플리(체크),"국내 이용금액
최대 0.3% 할인
해외 이용금액
0.2% 할인
매 월 2회
할인쿠폰 제공",국내전용 없음 / 해외겸용 없음,전월실적 없음
신한카드 Way 체크(최고심),"대중교통 최대
5% 적립
생활편의 최대
2% 적립
해외 이용금액
1.3% 적립",국내전용 없음 / 해외겸용없음,전월실적 20만원 이상
신한카드 S-Line 체크(마이펫),"모든가맹점
0.2~0.5% 적립
요식업종
5% 할인
대중교통
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
쿠팡 신한카드 체크,"쿠팡캐시
3% 적립
스타벅스
10% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
네이버페이 신한카드 체크,"전가맹점
1% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
신한 S20 체크카드,"버스/지하철/택시
10% 캐시백
이동통신요금
2~3천원 캐시백
GS25
2~7% 캐시백",해외겸용 없음,전월실적 20만원 이상
FANtastic S 신한카드 체크,"간편결제(FAN페이)
15% 캐시백
쿠팡,티몬
10% 캐시백
스타벅스
10% 캐시백",해외겸용 없음,전월실적 30만원 이상
신한카드 S-Line 체크,"전 가맹점
0.2%~0.5% 적립
요식업종
5% 할인
버스,지하철
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
신한카드 4Tune 체크,"국내 모든 가맹점
0.2% 적립
해외 모든 가맹점
1% 적립
커피전문점
10% 할인",국내전용 없음 / 해외겸용 없음,전월실적 없음
신한카드 하이패스(전용) 체크,"하이패스요금
0.1% 적립
통행료
20% 자동할인",국내전용 없음,전월실적 10만원 이상
Global Air 스카이패스 체크,"주중 3,000원 당
1마일리지 적립
주말 1,500원 당
1마일리지 적립
해외인출 1건당
US $3 캐시백","국내전용 10,000원 / 해외겸용 10,000원",전월실적 20만원 이상
신한카드 주거래 체크,"전가맹점
0.3% 적립
쇼핑, 해외가맹점
0.7% 추가적립
생활가맹점
1.7% 추가적립",해외겸용 없음,전월실적 30만원 이상
신한카드 On 체크(쥬라기),"간편결제
2% 적립
생활편의
2% 적립
해외 이용금액
1.3% 적립",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
신한카드 Deep Dream 체크(모베러웍스),"모두드림
0.2% 적립
더해드림
0.6% 적립
챙겨드림
1.0% 적립",해외겸용 없음,전월실적 없음
신한카드 Way 체크,"대중교통
5% 적립
생활편의
2% 적립
해외 이용금액
1.3% 적립",국내전용 없음 / 해외겸용없음,전월실적 20만원 이상
신한카드 Way 체크(쥬라기),"대중교통
5% 적립
생활편의
2% 적립
해외 이용금액
1.3% 적립",국내전용 없음 / 해외겸용없음,전월실적 20만원 이상
신한 S20 Pink(핑크)체크카드,"지하철/버스
10% 캐시백
이동통신요금
3,000원 캐시백
4대 온라인쇼핑몰
7% 캐시백",해외겸용 없음,전월실적 20만원 이상
